DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
24;312;24312;Sanilhac;24;065;24065;Breuilh;274;2;276
24;068;24068;Le Buisson-de-Cadouin;24;072;24072;Cadouin;309;7;316
24;064;24064;Brantôme en Périgord;24;079;24079;Cantillac;186;5;191
24;325;24325;Pechs-de-l'Espérance;24;089;24089;Cazoulès;453;7;460
24;362;24362;Val de Louyre et Caudeau;24;092;24092;Cendrieux;595;5;600
24;554;24554;La Tour-Blanche-Cercles;24;093;24093;Cercles;169;6;175
24;253;24253;Mareuil en Périgord;24;099;24099;Champeaux-et-la-Chapelle-Pommier;154;0;154
24;026;24026;Bassillac et Auberoche;24;103;24103;Le Change;628;10;638
24;086;24086;Castelnaud-la-Chapelle;24;112;24112;La Chapelle-Péchaud;130;2;132
24;117;24117;Les Coteaux Périgourdins;24;117;24117;Chavagnac;360;9;369
24;316;24316;Parcoul-Chenaud;24;118;24118;Chenaud;370;8;378
24;364;24364;Coly-Saint-Amand;24;127;24127;Coly;214;3;217
24;147;24147;Cubjac-Auvézère-Val d'Ans;24;147;24147;Cubjac;740;9;749
24;026;24026;Bassillac et Auberoche;24;166;24166;Eyliac;720;16;736
24;064;24064;Brantôme en Périgord;24;170;24170;Eyvirat;302;6;308
24;172;24172;Les Eyzies;24;172;24172;Les Eyzies-de-Tayac-Sireuil;852;14;866
24;064;24064;Brantôme en Périgord;24;198;24198;La Gonterie-Boulouneix;228;3;231
24;260;24260;Mauzac-et-Grand-Castang;24;201;24201;Grand-Castang;92;0;92
24;253;24253;Mareuil en Périgord;24;203;24203;Les Graulges;78;0;78
24;117;24117;Les Coteaux Périgourdins;24;204;24204;Grèzes;191;9;200
24;216;24216;La Jemaye-Ponteyraud;24;216;24216;La Jemaye;107;1;108
24;028;24028;Beaumontois en Périgord;24;219;24219;Labouquerie;205;4;209
24;259;24259;Eyraud-Crempse-Maurens;24;233;24233;Laveyssière;129;1;130
24;253;24253;Mareuil en Périgord;24;235;24235;Léguillac-de-Cercles;261;5;266
24;540;24540;Sorges et Ligueux en Périgord;24;239;24239;Ligueux;304;4;308
24;172;24172;Les Eyzies;24;249;24249;Manaurie;146;2;148
24;253;24253;Mareuil en Périgord;24;253;24253;Mareuil;1054;19;1073
24;312;24312;Sanilhac;24;258;24258;Marsaneix;1156;20;1176
24;259;24259;Eyraud-Crempse-Maurens;24;259;24259;Maurens;1119;19;1138
24;026;24026;Bassillac et Auberoche;24;270;24270;Milhac-d'Auberoche;550;7;557
24;253;24253;Mareuil en Périgord;24;283;24283;Monsec;170;5;175
24;028;24028;Beaumontois en Périgord;24;310;24310;Nojals-et-Clotte;186;4;190
24;312;24312;Sanilhac;24;312;24312;Notre-Dame-de-Sanilhac;3290;80;3370
24;325;24325;Pechs-de-l'Espérance;24;314;24314;Orliaguet;131;3;134
24;068;24068;Le Buisson-de-Cadouin;24;315;24315;Paleyrac;185;9;194
24;316;24316;Parcoul-Chenaud;24;316;24316;Parcoul;439;7;446
24;325;24325;Pechs-de-l'Espérance;24;325;24325;Peyrillac-et-Millac;200;5;205
24;216;24216;La Jemaye-Ponteyraud;24;333;24333;Ponteyraud;41;3;44
24;376;24376;Saint Aulaye-Puymangou;24;343;24343;Puymangou;77;1;78
24;253;24253;Mareuil en Périgord;24;344;24344;Puyrenier;55;1;56
24;362;24362;Val de Louyre et Caudeau;24;362;24362;Sainte-Alvère;779;10;789
